Semana epidemiológica,Data,Dias a partir do 1o caso,UF,Município,Cód. IBGE,Tipo de local,Confirmados acum.,Confirmados acum./100k hab.,Confirmações no dia,Óbitos acum.,Óbitos no dia,Óbitos/confirmados,População estimada 2019,É a última atualização?,Dado repetido?
202151,2021-12-25,617,AL,Arapiraca,2700300,city,31229,13400.30123,0,538,0,0.0172,233047,False,False
202152,2021-12-26,618,AL,Arapiraca,2700300,city,31229,13400.30123,0,538,0,0.0172,233047,False,False
202152,2021-12-27,619,AL,Arapiraca,2700300,city,31230,13400.73032,1,538,0,0.0172,233047,False,False
202152,2021-12-28,620,AL,Arapiraca,2700300,city,31231,13401.15942,1,538,0,0.0172,233047,False,False
202152,2021-12-29,621,AL,Arapiraca,2700300,city,31233,13402.01762,2,538,0,0.0172,233047,False,False
202152,2021-12-30,622,AL,Arapiraca,2700300,city,31234,13402.44672,1,538,0,0.0172,233047,False,False
202152,2021-12-31,623,AL,Arapiraca,2700300,city,31234,13402.44672,0,538,0,0.0172,233047,False,False
202152,2022-01-01,624,AL,Arapiraca,2700300,city,31235,13402.87581,1,538,0,0.0172,233047,False,False
202201,2022-01-02,625,AL,Arapiraca,2700300,city,31235,13402.87581,0,538,0,0.0172,233047,False,False
202201,2022-01-03,626,AL,Arapiraca,2700300,city,31237,13403.73401,2,538,0,0.0172,233047,False,False
202201,2022-01-04,627,AL,Arapiraca,2700300,city,31238,13404.16311,1,538,0,0.0172,233047,False,False
202201,2022-01-05,628,AL,Arapiraca,2700300,city,31242,13405.8795,4,538,0,0.0172,233047,False,False
202201,2022-01-06,629,AL,Arapiraca,2700300,city,31244,13406.7377,2,538,0,0.0172,233047,False,False
202201,2022-01-07,630,AL,Arapiraca,2700300,city,31249,13408.88319,5,538,0,0.0172,233047,False,False
202201,2022-01-08,631,AL,Arapiraca,2700300,city,31252,13410.17048,3,538,0,0.0172,233047,False,False
202202,2022-01-09,632,AL,Arapiraca,2700300,city,31263,13414.89056,11,538,0,0.0172,233047,False,False
202202,2022-01-10,633,AL,Arapiraca,2700300,city,31271,13418.32334,8,538,0,0.0172,233047,False,False
202202,2022-01-11,634,AL,Arapiraca,2700300,city,31276,13420.46883,5,538,0,0.0172,233047,False,False
